iteration = 1 , objective = 0.7272635430839626, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.680871328310595]
iteration = 2 , objective = 0.7272635783632883, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711582031495]
iteration = 3 , objective = 0.7272635408961919, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713046170087]
iteration = 1 , objective = 0.7272635430839626, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.680871328310595]
iteration = 2 , objective = 0.7272635783632883, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711582031495]
iteration = 3 , objective = 0.7272635408961919, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713046170087]
iteration = 4 , objective = 0.7272635431011164, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.6808713283398653]
iteration = 5 , objective = 0.7272635783632868, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711582031537]
iteration = 6 , objective = 0.7272635408961905, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713046170125]
iteration = 7 , objective = 0.7272635431011135, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.6808713283398735]
iteration = 8 , objective = 0.7272635783632868, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711582031537]
iteration = 9 , objective = 0.7272635408961919, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713046170087]
iteration = 10 , objective = 0.8368127434646776, inputs = [0.38461538461538464, 0.7890156681338946], constraints = [1.530801073090704]
iteration = 11 , objective = 0.735535154662357, inputs = [0.5618773034184052, 0.7218867052938261], constraints = [1.7603271788314216]
iteration = 12 , objective = 0.7257213933505416, inputs = [0.6360767325051319, 0.6937874341613043], constraints = [1.7395752265020827]
iteration = 13 , objective = 0.725310543298431, inputs = [0.6716376188041291, 0.6803205517590102], constraints = [1.714507412471187]
